record_date,last_price,high_price,low_price,avg_price,percent_change,volume,turnover_best,total_turnover
2016-02-12,8446.0,8446.0,8446.0,8446.0,2.99,26,219596,219596
2016-02-11,8241.0,8241.0,8000.0,8200.83,2.5,12,98410,1672441
2016-02-09,8001.0,8001.0,8001.0,8001.0,-2.95,60,480060,480060
2016-01-13,8244.0,8244.0,8244.0,8244.0,0.0,3,24732,24732
2015-12-24,8244.0,8244.0,8244.0,8244.0,0.01,3,24732,9848732
2015-12-18,8243.0,8243.0,8243.0,8243.0,0.0,1,8243,12856493
2015-12-09,8243.0,8243.0,8243.0,8243.0,3.0,5,41215,41215
2015-11-30,8000.0,8242.0,8000.0,8003.29,0.04,808,6466662,6466662
2015-11-24,8000.0,8000.0,8000.0,8000.0,-0.02,5,40000,1048000
2015-11-20,8002.0,8002.0,8002.0,8002.0,0.02,10,80020,80020
2015-11-17,8000.0,8000.0,8000.0,8000.0,0.0,5,40000,40000
2015-11-16,8000.0,8000.0,7999.0,7999.67,5.19,30,239990,3303990
2015-11-13,7920.0,7920.0,7416.0,7605.0,5.62,8,60840,60840
2015-11-11,7200.0,7200.0,7200.0,7200.0,0.0,105,756000,756000
2015-11-10,7200.0,7200.0,7200.0,7200.0,-2.7,205,1476000,1476000
2015-11-06,7400.0,7400.0,7400.0,7400.0,-1.99,10,74000,74000
2015-11-03,7550.0,7550.0,7550.0,7550.0,-2.63,40,302000,3729700
2015-11-02,7755.0,7802.0,7725.0,7754.24,-2.59,54,418729,418729
2015-10-30,7960.0,7961.0,7960.0,7960.6,-2.92,25,199015,199015
2015-10-27,8200.0,8200.0,8200.0,8200.0,1.98,10,82000,82000
2015-10-26,7961.0,8200.0,7961.0,8040.67,-1.95,12,96488,96488
2015-10-20,8200.0,8201.0,8200.0,8200.99,0.0,91,746290,746290
2015-10-19,8201.0,8201.0,8201.0,8201.0,-0.61,5,41005,41005
2015-10-15,8201.0,8400.0,8200.0,8251.18,0.99,79,651843,1753443
2015-10-14,8170.0,8170.0,8170.0,8170.0,0.25,20,163400,2237000
2015-10-07,8150.0,8150.0,8150.0,8150.0,-1.81,5,40750,2112500
2015-10-05,8300.0,8300.0,8300.0,8300.0,0.08,24,199200,199200
2015-10-01,8300.0,8300.0,8200.0,8293.33,1.15,150,1244000,1244000
2015-09-30,8199.0,8199.0,8199.0,8199.0,1.22,48,393552,393552
2015-09-28,8100.0,8100.0,8100.0,8100.0,0.0,40,324000,324000
2015-09-25,8100.0,8100.0,8100.0,8100.0,0.0,20,162000,162000
2015-09-23,8100.0,8100.0,8100.0,8100.0,0.0,40,324000,324000
2015-09-22,8100.0,8100.0,8100.0,8100.0,-0.21,17,137700,137700
2015-09-21,8150.0,8150.0,8100.0,8116.67,0.21,30,243500,243500
2015-09-15,8100.0,8100.0,8100.0,8100.0,-1.7,7,56700,56700
2015-09-04,8240.0,8240.0,8240.0,8240.0,0.0,6,49440,49440
2015-09-03,8240.0,8240.0,8240.0,8240.0,0.0,1,8240,8240
2015-09-02,8240.0,8240.0,8240.0,8240.0,0.0,50,412000,1416400
2015-09-01,8240.0,8240.0,8240.0,8240.0,2.99,18,148320,148320
2015-08-26,8001.0,8001.0,8001.0,8001.0,-2.43,5,40005,40005
2015-08-25,8200.0,8200.0,8200.0,8200.0,-0.16,10,82000,82000
2015-08-17,8001.0,8345.0,8001.0,8212.84,1.37,134,1100520,1100520
2015-08-14,8175.0,8175.0,8050.0,8102.08,1.91,36,291675,291675
2015-08-13,7950.0,7950.0,7950.0,7950.0,1.91,33,262350,262350
2015-08-11,7801.0,7801.0,7801.0,7801.0,0.0,12,93612,93612
2015-08-07,7801.0,7801.0,7801.0,7801.0,-1.75,21,163821,163821
2015-07-30,7761.0,8000.0,7761.0,7940.25,2.31,40,317610,317610
2015-07-20,7761.0,7761.0,7761.0,7761.0,-1.7,5,38805,38805
2015-07-16,7900.0,7900.0,7890.0,7895.0,-0.05,40,315800,315800
2015-07-14,7899.0,7899.0,7899.0,7899.0,0.83,15,118485,118485
2015-07-10,7790.0,7849.0,7790.0,7834.25,-0.86,20,156685,156685
2015-07-09,7850.0,7990.0,7850.0,7902.5,-1.22,40,316100,316100
2015-06-25,8000.0,8000.0,7999.0,7999.72,1.26,69,551981,551981
2015-06-19,7900.0,7900.0,7900.0,7900.0,2.6,16,126400,126400
2015-06-16,7700.0,7700.0,7700.0,7700.0,0.0,1,7700,7700
2015-06-10,7700.0,7701.0,7700.0,7700.3,-0.05,27,207908,207908
2015-06-09,7701.0,7705.0,7701.0,7704.2,-1.38,20,154084,154084
2015-06-03,7812.0,7812.0,7812.0,7812.0,-1.11,14,109368,109368
2015-05-26,7900.0,7900.0,7900.0,7900.0,-1.9,10,79000,79000
2015-05-20,8050.0,8070.0,8050.0,8053.33,-0.21,42,338240,338240
2015-05-19,8070.0,8070.0,8070.0,8070.0,0.0,15,121050,1125471
2015-05-18,8070.0,8070.0,8070.0,8070.0,0.12,2,16140,16140
2015-05-15,8060.0,8060.0,8060.0,8060.0,0.0,30,241800,241800
2015-05-13,8060.0,8060.0,8060.0,8060.0,0.0,50,403000,403000
2015-04-27,8060.0,8060.0,8060.0,8060.0,-2.89,10,80600,80600
2015-04-23,8300.0,8300.0,8300.0,8300.0,0.3,30,249000,249000
2015-04-21,8300.0,8300.0,8250.0,8275.0,0.91,30,248250,248250
2015-04-20,8200.0,8200.0,8200.0,8200.0,0.01,15,123000,123000
